# Poisson-Nernst-Planck system, generated on jotelha-fujitsu-ubuntu-20, 2021-02-03 09:59:33
# All quantities in SI units.
# grid x (m), potential u (V), concentration c (mM)
# x                    u                      c00                    c01                   
 0.000000000000000e+00  4.999999999999999e-03  8.229186796556510e+02  1.214484312478529e+03
 1.000000000000000e-10  3.601761514773074e-03  8.689445092696965e+02  1.150156098942508e+03
 2.000000000000000e-10  2.595010649772180e-03  9.036695643217724e+02  1.105959375486793e+03
 3.000000000000000e-10  1.869839971990222e-03  9.295389171898645e+02  1.075180187217699e+03
 4.000000000000000e-10  1.347383011568522e-03  9.486345278883151e+02  1.053537266071111e+03
 5.000000000000000e-10  9.709318990469049e-04  9.626363761066268e+02  1.038213235879103e+03
 6.000000000000000e-10  6.996683395160091e-04  9.728537830561989e+02  1.027309390598310e+03
 7.000000000000000e-10  5.041951463667605e-04  9.802836359441591e+02  1.019523115929776e+03
 8.000000000000000e-10  3.633345098393476e-04  9.856728416338065e+02  1.013948832511378e+03
 9.000000000000000e-10  2.618276112558361e-04  9.895747659371528e+02  1.009950800499945e+03
 1.000000000000000e-09  1.886794734832223e-04  9.923961522832645e+02  1.007079506216692e+03
 1.100000000000000e-09  1.359671783321712e-04  9.944342963674540e+02  1.005015445126482e+03
 1.200000000000000e-09  9.798139692650890e-05  9.959056278977929e+02  1.003530654930032e+03
 1.300000000000000e-09  7.060788901970872e-05  9.969672557752490e+02  1.002462037968960e+03
 1.400000000000000e-09  5.088184591412574e-05  9.977329932470701e+02  1.001692671062438e+03
 1.500000000000000e-09  3.666675740771861e-05  9.982851677477499e+02  1.001138611793256e+03
 1.600000000000000e-09  2.642300215383289e-05  9.986832682175404e+02  1.000739532561268e+03
 1.700000000000000e-09  1.904109059612309e-05  9.989702479989105e+02  1.000452044507608e+03
 1.800000000000000e-09  1.372149655155271e-05  9.991771040849829e+02  1.000244924475149e+03
 1.900000000000000e-09  9.888061146571865e-06  9.993261964213094e+02  1.000095695071155e+03
 2.000000000000000e-09  7.125589618092476e-06  9.994336499614249e+02  9.999881703516375e+02
 2.100000000000000e-09  5.134882024790189e-06  9.995110908920026e+02  9.999106924575110e+02
 2.200000000000000e-09  3.700327247480778e-06  9.995669005261491e+02  9.998548636281503e+02
 2.300000000000000e-09  2.666550404647209e-06  9.996071203070729e+02  9.998146338791289e+02
 2.400000000000000e-09  1.921584385821714e-06  9.996361047126258e+02  9.997856442971314e+02
 2.500000000000000e-09  1.384742829371628e-06  9.996569921372169e+02  9.997647541844070e+02
 2.600000000000000e-09  9.978810806712393e-07  9.996720444198944e+02  9.997497005057788e+02
